item_id,name,category,brand,condition,description
112345,iPhone 12,Electronics,Apple,LIKE_NEW,Gently Used Smartphone
112346,Kindle Paperwhite,Electronics,Amazon,VERY_GOOD,E-Reader With Backlight
112347,Wooden Desk,Furniture,Ikea,VERY_GOOD,Sturdy Office Desk
112348,Nike Running Shoes,Sports,Nike,GOOD,Comfortable Running Shoes
112349,Leather Jacket,Fashion,Zara,GOOD,Warm Stylish Jacket
112350,Vacuum Cleaner,Home,Dyson,VERY_GOOD,Powerful Vacuum Cleaner
112351,Lego Star Wars Set,Toys,Lego,NEW,Sealed Box Set
112352,Python Cookbook,Books,O'Reilly,LIKE_NEW,Advanced Python Recipes
112353,Office Chair,Furniture,Herman Miller,GOOD,Ergonomic Office Chair
112354,Bluetooth Headphones,Electronics,Sony,VERY_GOOD,Noise Cancelling Headphones
112355,Coffee Maker,Home,Nespresso,LIKE_NEW,Capsule Coffee Machine
112356,Basketball,Sports,Spalding,NEW,Official Size Basketball
112357,Bookshelf,Furniture,Ikea,GOOD,5-Shelf Bookcase
112358,Teddy Bear,Toys,Hasbro,ACCEPTABLE,Used Plush Toy
112359,Misc Tool Kit,Misc,Stanley,GOOD,Home Repair Toolkit